idade,principio_ativo,quantidade_vendida,ano
32,AZITROMICINA DI-HIDRATADA,53,2020
29,AZITROMICINA DI-HIDRATADA,53,2020
45,AZITROMICINA DI-HIDRATADA,52,2020
36,AZITROMICINA DI-HIDRATADA,52,2020
56,AZITROMICINA DI-HIDRATADA,52,2020
50,AZITROMICINA DI-HIDRATADA,52,2020
36,AZITROMICINA DI-HIDRATADA,52,2020
49,AZITROMICINA DI-HIDRATADA,52,2020
26,AZITROMICINA DI-HIDRATADA,52,2020
52,AZITROMICINA DI-HIDRATADA,52,2020
25,AZITROMICINA DI-HIDRATADA,51,2020
35,AZITROMICINA DI-HIDRATADA,51,2020
36,AZITROMICINA DI-HIDRATADA,51,2020
39,AZITROMICINA DI-HIDRATADA,51,2020
45,AZITROMICINA DI-HIDRATADA,51,2020
59,AZITROMICINA DI-HIDRATADA,51,2020
32,AZITROMICINA DI-HIDRATADA,51,2020
48,AZITROMICINA DI-HIDRATADA,51,2020
31,AZITROMICINA DI-HIDRATADA,51,2020
29,AZITROMICINA DI-HIDRATADA,51,2020
43,AZITROMICINA DI-HIDRATADA,51,2020
36,AZITROMICINA DI-HIDRATADA,51,2020
21,AZITROMICINA DI-HIDRATADA,51,2020
39,AZITROMICINA DI-HIDRATADA,50,2020
37,AZITROMICINA DI-HIDRATADA,50,2020
32,AZITROMICINA DI-HIDRATADA,50,2020
36,AZITROMICINA DI-HIDRATADA,50,2020
40,AZITROMICINA DI-HIDRATADA,50,2020
21,AZITROMICINA DI-HIDRATADA,50,2020
36,AZITROMICINA DI-HIDRATADA,50,2020
47,AZITROMICINA DI-HIDRATADA,50,2020
27,AZITROMICINA DI-HIDRATADA,50,2020
46,AZITROMICINA DI-HIDRATADA,50,2020
31,AZITROMICINA DI-HIDRATADA,50,2020
20,AZITROMICINA DI-HIDRATADA,49,2020
45,AZITROMICINA DI-HIDRATADA,49,2020
40,AZITROMICINA DI-HIDRATADA,49,2020
30,AZITROMICINA DI-HIDRATADA,49,2020
46,AZITROMICINA DI-HIDRATADA,49,2020
43,AZITROMICINA DI-HIDRATADA,49,2020
37,AZITROMICINA DI-HIDRATADA,49,2020
28,AZITROMICINA DI-HIDRATADA,49,2020
45,AZITROMICINA DI-HIDRATADA,49,2020
35,AZITROMICINA DI-HIDRATADA,49,2020
56,AZITROMICINA DI-HIDRATADA,49,2020
40,AZITROMICINA DI-HIDRATADA,49,2020
39,AZITROMICINA DI-HIDRATADA,49,2020
52,AZITROMICINA DI-HIDRATADA,49,2020
45,AZITROMICINA DI-HIDRATADA,48,2020
32,AZITROMICINA DI-HIDRATADA,48,2020
39,AZITROMICINA DI-HIDRATADA,48,2020
41,AZITROMICINA DI-HIDRATADA,48,2020
32,AZITROMICINA DI-HIDRATADA,48,2020
50,AZITROMICINA DI-HIDRATADA,48,2020
42,AZITROMICINA DI-HIDRATADA,48,2020
22,AZITROMICINA DI-HIDRATADA,48,2020
35,AZITROMICINA DI-HIDRATADA,48,2020
55,AZITROMICINA DI-HIDRATADA,48,2020
45,AZITROMICINA DI-HIDRATADA,48,2020
27,AZITROMICINA DI-HIDRATADA,48,2020
38,AZITROMICINA DI-HIDRATADA,48,2020
39,AZITROMICINA DI-HIDRATADA,48,2020
50,AZITROMICINA DI-HIDRATADA,47,2020
23,AZITROMICINA DI-HIDRATADA,47,2020
25,AZITROMICINA DI-HIDRATADA,47,2020
52,AZITROMICINA DI-HIDRATADA,47,2020
44,AZITROMICINA DI-HIDRATADA,47,2020
41,AZITROMICINA DI-HIDRATADA,47,2020
35,AZITROMICINA DI-HIDRATADA,47,2020
39,AZITROMICINA DI-HIDRATADA,47,2020
63,AZITROMICINA DI-HIDRATADA,47,2020
41,AZITROMICINA DI-HIDRATADA,47,2020
30,AZITROMICINA DI-HIDRATADA,47,2020
41,AZITROMICINA DI-HIDRATADA,47,2020
34,AZITROMICINA DI-HIDRATADA,47,2020
20,AZITROMICINA DI-HIDRATADA,47,2020
25,AZITROMICINA DI-HIDRATADA,47,2020
38,AZITROMICINA DI-HIDRATADA,47,2020
33,AZITROMICINA DI-HIDRATADA,46,2020
36,AZITROMICINA DI-HIDRATADA,46,2020
59,AZITROMICINA DI-HIDRATADA,46,2020
45,AZITROMICINA DI-HIDRATADA,46,2020
51,AZITROMICINA DI-HIDRATADA,46,2020
34,AZITROMICINA DI-HIDRATADA,46,2020
54,AZITROMICINA DI-HIDRATADA,46,2020
24,AZITROMICINA DI-HIDRATADA,46,2020
22,AZITROMICINA DI-HIDRATADA,46,2020
45,AZITROMICINA DI-HIDRATADA,46,2020
26,AZITROMICINA DI-HIDRATADA,46,2020
30,AZITROMICINA DI-HIDRATADA,46,2020
30,AZITROMICINA DI-HIDRATADA,46,2020
32,AZITROMICINA DI-HIDRATADA,46,2020
34,AZITROMICINA DI-HIDRATADA,45,2020
42,AZITROMICINA DI-HIDRATADA,45,2020
40,AZITROMICINA DI-HIDRATADA,45,2020
55,AZITROMICINA DI-HIDRATADA,45,2020
38,AZITROMICINA DI-HIDRATADA,45,2020
32,AZITROMICINA DI-HIDRATADA,45,2020
39,AZITROMICINA DI-HIDRATADA,45,2020
35,AZITROMICINA DI-HIDRATADA,45,2020
33,AZITROMICINA DI-HIDRATADA,45,2020
35,AZITROMICINA DI-HIDRATADA,45,2020
40,AZITROMICINA DI-HIDRATADA,45,2020
35,AZITROMICINA DI-HIDRATADA,45,2020
39,AZITROMICINA DI-HIDRATADA,45,2020
35,AZITROMICINA DI-HIDRATADA,45,2020
26,AZITROMICINA DI-HIDRATADA,45,2020
35,AZITROMICINA DI-HIDRATADA,44,2020
33,AZITROMICINA DI-HIDRATADA,44,2020
30,AZITROMICINA DI-HIDRATADA,44,2020
40,AZITROMICINA DI-HIDRATADA,44,2020
34,AZITROMICINA DI-HIDRATADA,44,2020
44,AZITROMICINA DI-HIDRATADA,44,2020
50,AZITROMICINA DI-HIDRATADA,44,2020
46,AZITROMICINA DI-HIDRATADA,44,2020
57,AZITROMICINA DI-HIDRATADA,44,2020
38,AZITROMICINA DI-HIDRATADA,44,2020
25,AZITROMICINA DI-HIDRATADA,44,2020
45,AZITROMICINA DI-HIDRATADA,44,2020
44,AZITROMICINA DI-HIDRATADA,44,2020
25,AZITROMICINA DI-HIDRATADA,44,2020
32,AZITROMICINA DI-HIDRATADA,44,2020
45,AZITROMICINA DI-HIDRATADA,44,2020
36,AZITROMICINA DI-HIDRATADA,44,2020
25,AZITROMICINA DI-HIDRATADA,44,2020
40,AZITROMICINA DI-HIDRATADA,44,2020
45,AZITROMICINA DI-HIDRATADA,43,2020
38,AZITROMICINA DI-HIDRATADA,43,2020
41,AZITROMICINA DI-HIDRATADA,43,2020
62,AZITROMICINA DI-HIDRATADA,43,2020
38,AZITROMICINA DI-HIDRATADA,43,2020
46,AZITROMICINA DI-HIDRATADA,43,2020
34,AZITROMICINA DI-HIDRATADA,43,2020
19,AZITROMICINA DI-HIDRATADA,43,2020
25,AZITROMICINA DI-HIDRATADA,43,2020
34,AZITROMICINA DI-HIDRATADA,43,2020
20,AZITROMICINA DI-HIDRATADA,43,2020
39,AZITROMICINA DI-HIDRATADA,43,2020
38,AZITROMICINA DI-HIDRATADA,43,2020
28,AZITROMICINA DI-HIDRATADA,43,2020
41,AZITROMICINA DI-HIDRATADA,43,2020
48,AZITROMICINA DI-HIDRATADA,42,2020
31,AZITROMICINA DI-HIDRATADA,42,2020
32,AZITROMICINA DI-HIDRATADA,42,2020
31,AZITROMICINA DI-HIDRATADA,42,2020
49,AZITROMICINA DI-HIDRATADA,42,2020
39,AZITROMICINA DI-HIDRATADA,42,2020
45,AZITROMICINA DI-HIDRATADA,42,2020
48,AZITROMICINA DI-HIDRATADA,42,2020
32,AZITROMICINA DI-HIDRATADA,42,2020
45,AZITROMICINA DI-HIDRATADA,42,2020
40,AZITROMICINA DI-HIDRATADA,42,2020
51,AZITROMICINA DI-HIDRATADA,42,2020
21,AZITROMICINA DI-HIDRATADA,42,2020
23,AZITROMICINA DI-HIDRATADA,42,2020
39,AZITROMICINA DI-HIDRATADA,42,2020
28,AZITROMICINA DI-HIDRATADA,42,2020
43,AZITROMICINA DI-HIDRATADA,42,2020
46,AZITROMICINA DI-HIDRATADA,42,2020
32,AZITROMICINA DI-HIDRATADA,42,2020
29,AZITROMICINA DI-HIDRATADA,42,2020
39,AZITROMICINA DI-HIDRATADA,42,2020
25,AZITROMICINA DI-HIDRATADA,42,2020
40,AZITROMICINA DI-HIDRATADA,42,2020
38,AZITROMICINA DI-HIDRATADA,41,2020
37,AZITROMICINA DI-HIDRATADA,41,2020
31,AZITROMICINA DI-HIDRATADA,41,2020
39,AZITROMICINA DI-HIDRATADA,41,2020
33,AZITROMICINA DI-HIDRATADA,41,2020
46,AZITROMICINA DI-HIDRATADA,41,2020
34,AZITROMICINA DI-HIDRATADA,41,2020
50,AZITROMICINA DI-HIDRATADA,41,2020
25,AZITROMICINA DI-HIDRATADA,41,2020
53,AZITROMICINA DI-HIDRATADA,41,2020
58,AZITROMICINA DI-HIDRATADA,41,2020
41,AZITROMICINA DI-HIDRATADA,41,2020
42,AZITROMICINA DI-HIDRATADA,41,2020
31,AZITROMICINA DI-HIDRATADA,41,2020
47,AZITROMICINA DI-HIDRATADA,41,2020
42,AZITROMICINA DI-HIDRATADA,41,2020
50,AZITROMICINA DI-HIDRATADA,41,2020
28,AZITROMICINA DI-HIDRATADA,41,2020
33,AZITROMICINA DI-HIDRATADA,41,2020
26,AZITROMICINA DI-HIDRATADA,41,2020
30,AZITROMICINA DI-HIDRATADA,41,2020
50,AZITROMICINA DI-HIDRATADA,41,2020
43,AZITROMICINA DI-HIDRATADA,41,2020
48,AZITROMICINA DI-HIDRATADA,41,2020
33,AZITROMICINA DI-HIDRATADA,41,2020
34,AZITROMICINA DI-HIDRATADA,41,2020
30,AZITROMICINA DI-HIDRATADA,40,2020
29,AZITROMICINA DI-HIDRATADA,40,2020
30,AZITROMICINA DI-HIDRATADA,40,2020
34,AZITROMICINA DI-HIDRATADA,40,2020
35,AZITROMICINA DI-HIDRATADA,40,2020
30,AZITROMICINA DI-HIDRATADA,40,2020
23,AZITROMICINA DI-HIDRATADA,40,2020
28,AZITROMICINA DI-HIDRATADA,40,2020
50,AZITROMICINA DI-HIDRATADA,40,2020
57,AZITROMICINA DI-HIDRATADA,40,2020
40,AZITROMICINA DI-HIDRATADA,40,2020
37,AZITROMICINA DI-HIDRATADA,40,2020
49,AZITROMICINA DI-HIDRATADA,40,2020
55,AZITROMICINA DI-HIDRATADA,40,2020
23,AZITROMICINA DI-HIDRATADA,40,2020
50,AZITROMICINA DI-HIDRATADA,40,2020
52,AZITROMICINA DI-HIDRATADA,40,2020
34,AZITROMICINA DI-HIDRATADA,40,2020
60,AZITROMICINA DI-HIDRATADA,40,2020
33,AZITROMICINA DI-HIDRATADA,40,2020
40,AZITROMICINA DI-HIDRATADA,40,2020
23,AZITROMICINA DI-HIDRATADA,40,2020
55,AZITROMICINA DI-HIDRATADA,40,2020
39,AZITROMICINA DI-HIDRATADA,40,2020
50,AZITROMICINA DI-HIDRATADA,40,2020
39,AZITROMICINA DI-HIDRATADA,40,2020
56,AZITROMICINA DI-HIDRATADA,40,2020
36,AZITROMICINA DI-HIDRATADA,40,2020
32,AZITROMICINA DI-HIDRATADA,39,2020
32,AZITROMICINA DI-HIDRATADA,39,2020
30,AZITROMICINA DI-HIDRATADA,39,2020
33,AZITROMICINA DI-HIDRATADA,39,2020
35,AZITROMICINA DI-HIDRATADA,39,2020
30,AZITROMICINA DI-HIDRATADA,39,2020
35,AZITROMICINA DI-HIDRATADA,39,2020
20,AZITROMICINA DI-HIDRATADA,39,2020
31,AZITROMICINA DI-HIDRATADA,39,2020
30,AZITROMICINA DI-HIDRATADA,39,2020
34,AZITROMICINA DI-HIDRATADA,39,2020
30,AZITROMICINA DI-HIDRATADA,39,2020
30,AZITROMICINA DI-HIDRATADA,39,2020
54,AZITROMICINA DI-HIDRATADA,39,2020
37,AZITROMICINA DI-HIDRATADA,39,2020
48,AZITROMICINA DI-HIDRATADA,39,2020
28,AZITROMICINA DI-HIDRATADA,39,2020
42,AZITROMICINA DI-HIDRATADA,39,2020
47,AZITROMICINA DI-HIDRATADA,39,2020
26,AZITROMICINA DI-HIDRATADA,39,2020
48,AZITROMICINA DI-HIDRATADA,39,2020
33,AZITROMICINA DI-HIDRATADA,39,2020
33,AZITROMICINA DI-HIDRATADA,39,2020
36,AZITROMICINA DI-HIDRATADA,39,2020
35,AZITROMICINA DI-HIDRATADA,39,2020
41,AZITROMICINA DI-HIDRATADA,38,2020
41,AZITROMICINA DI-HIDRATADA,38,2020
32,AZITROMICINA DI-HIDRATADA,38,2020
44,AZITROMICINA DI-HIDRATADA,38,2020
36,AZITROMICINA DI-HIDRATADA,38,2020
35,AZITROMICINA DI-HIDRATADA,38,2020
36,AZITROMICINA DI-HIDRATADA,38,2020
36,AZITROMICINA DI-HIDRATADA,38,2020
49,AZITROMICINA DI-HIDRATADA,38,2020
43,AZITROMICINA DI-HIDRATADA,38,2020
32,AZITROMICINA DI-HIDRATADA,38,2020
24,AZITROMICINA DI-HIDRATADA,38,2020
49,AZITROMICINA DI-HIDRATADA,38,2020
55,AZITROMICINA DI-HIDRATADA,38,2020
38,AZITROMICINA DI-HIDRATADA,38,2020
22,AZITROMICINA DI-HIDRATADA,38,2020
50,AZITROMICINA DI-HIDRATADA,38,2020
31,AZITROMICINA DI-HIDRATADA,38,2020
36,AZITROMICINA DI-HIDRATADA,38,2020
42,AZITROMICINA DI-HIDRATADA,38,2020
38,AZITROMICINA DI-HIDRATADA,38,2020
48,AZITROMICINA DI-HIDRATADA,38,2020
35,AZITROMICINA DI-HIDRATADA,38,2020
38,AZITROMICINA DI-HIDRATADA,38,2020
26,AZITROMICINA DI-HIDRATADA,38,2020
52,AZITROMICINA DI-HIDRATADA,38,2020
34,AZITROMICINA DI-HIDRATADA,37,2020
26,AZITROMICINA DI-HIDRATADA,37,2020
29,AZITROMICINA DI-HIDRATADA,37,2020
33,AZITROMICINA DI-HIDRATADA,37,2020
36,AZITROMICINA DI-HIDRATADA,37,2020
30,AZITROMICINA DI-HIDRATADA,37,2020
35,AZITROMICINA DI-HIDRATADA,37,2020
40,AZITROMICINA DI-HIDRATADA,37,2020
51,AZITROMICINA DI-HIDRATADA,37,2020
28,AZITROMICINA DI-HIDRATADA,37,2020
31,AZITROMICINA DI-HIDRATADA,37,2020
25,AZITROMICINA DI-HIDRATADA,37,2020
45,AZITROMICINA DI-HIDRATADA,37,2020
55,AZITROMICINA DI-HIDRATADA,37,2020
46,AZITROMICINA DI-HIDRATADA,37,2020
34,AZITROMICINA DI-HIDRATADA,37,2020
37,AZITROMICINA DI-HIDRATADA,37,2020
36,AZITROMICINA DI-HIDRATADA,37,2020
56,AZITROMICINA DI-HIDRATADA,37,2020
29,AZITROMICINA DI-HIDRATADA,37,2020
35,AZITROMICINA DI-HIDRATADA,36,2020
40,AZITROMICINA DI-HIDRATADA,36,2020
36,AZITROMICINA DI-HIDRATADA,36,2020
30,AZITROMICINA DI-HIDRATADA,36,2020
28,AZITROMICINA DI-HIDRATADA,36,2020
45,AZITROMICINA DI-HIDRATADA,36,2020
57,AZITROMICINA DI-HIDRATADA,36,2020
50,AZITROMICINA DI-HIDRATADA,36,2020
35,AZITROMICINA DI-HIDRATADA,36,2020
